age,income,loan_amount,credit_score,employment_years,existing_loans,loan_approved
25,42000,15000,620,2,1,0
31,55000,20000,680,5,1,1
45,85000,30000,740,15,0,1
29,48000,25000,650,4,2,0
52,120000,40000,780,20,0,1
38,72000,28000,710,10,1,1
24,35000,12000,590,1,2,0
41,90000,35000,760,12,0,1
33,60000,22000,690,6,1,1
27,45000,18000,630,3,2,0
56,130000,50000,800,25,0,1
36,68000,26000,700,8,1,1
30,40000,30000,610,3,3,0
48,95000,32000,750,18,0,1
26,38000,10000,600,2,1,0
43,78000,27000,720,14,1,1
35,58000,24000,670,7,2,0
50,110000,45000,790,22,0,1
28,52000,17000,660,4,1,1
39,73000,29000,705,11,1,1
